Hovedkategori;Underkategori;Beskrivelse;Relevante tilbudseksempler
Byggeri og anlæg;Anlæg og infrastruktur;"Fokus: Projekter og tekniske løsninger i det åbne land eller byrum – fx veje, broer, terræn og forsyningsledninger som kloak, fjernvarme og vand.
Dækker fx: Vejbyggeri, broer, jordarbejde, infrastrukturdesign, anlægsteknik, forsyningsledninger (kloak, fjernvarme, vand og el).";"Dansk Betonforening
IDA Brandteknik
IDA Trækonstruktion
IDA Bygningsfysik
IDA HVAC
IDA Syn og skøn
IDA Byg
BYG Sjælland, IDA Sjælland
Byggeteknisk gruppe, IDA Nordjylland
Bygningsteknisk gruppe, IDA Østjylland
Kurser: Byggeri + ISO – svanemærket byggeri"
Byggeri og anlæg;Byggeteknik og materialer;"Fokus: Konstruktion, materialevalg og tekniske løsninger i bygning. 
Dækker fx.: Træ, beton, murværk, limtræ, 3D-printede konstruktioner, statik, bæreevne, konstruktion, murværk, træbyggeri, limtræ, last, dimensionering, brandsikring, brandkrav, teknisk dokumentation.";"Dansk Betonforening
IDA Brandteknik
IDA Trækonstruktion
IDA Bygningsfysik
IDA HVAC
IDA Syn og skøn
IDA Byg
BYG Sjælland, IDA Sjælland
Byggeteknisk gruppe, IDA Nordjylland
Bygningsteknisk gruppe, IDA Østjylland
Kurser: Byggeri + ISO – svanemærket byggeri"
Byggeri og anlæg;Bæredygtigt byggeri og klimapåvirkning;"Fokus: Miljøvenligt byggeri og bygningers rolle i klimabelastning og tilpasning. 
Dækker fx.: bæredygtighed, klimapåvirkning, klimatilpasning, skybrud, regnvand, DGNB, livscyklusvurdering.";"Dansk Betonforening
IDA Brandteknik
IDA Trækonstruktion
IDA Bygningsfysik
IDA HVAC
IDA Syn og skøn
IDA Byg
BYG Sjælland, IDA Sjælland
Byggeteknisk gruppe, IDA Nordjylland
Bygningsteknisk gruppe, IDA Østjylland
Kurser: Byggeri + ISO – svanemærket byggeri"
Byggeri og anlæg;Energi og indeklima;"Fokus: Indeklima, energiforbrug og tekniske installationer i bygninger. 
Dækker fx.: ventilation, fugt, indeklima, energieffektivitet, energimærkning, energirenovering, luftkvalitet.";"Dansk Betonforening
IDA Brandteknik
IDA Trækonstruktion
IDA Bygningsfysik
IDA HVAC
IDA Syn og skøn
IDA Byg
BYG Sjælland, IDA Sjælland
Byggeteknisk gruppe, IDA Nordjylland
Bygningsteknisk gruppe, IDA Østjylland
Kurser: Byggeri + ISO – svanemærket byggeri"
Byggeri og anlæg;Planlægning og projektstyring;"Fokus: Processer, organisering og ledelse af byggeprojekter – fra idé til udførelse. 
Dækker fx.: Projektledelse, faser i byggeprocessen, udbud, BIM, risikostyring, projektering, tidsplaner, byggeproces, samarbejdsformer";"Dansk Betonforening
IDA Brandteknik
IDA Trækonstruktion
IDA Bygningsfysik
IDA HVAC
IDA Syn og skøn
IDA Byg
BYG Sjælland, IDA Sjælland
Byggeteknisk gruppe, IDA Nordjylland
Bygningsteknisk gruppe, IDA Østjylland
Kurser: Byggeri + ISO – svanemærket byggeri"
Elektronik og tele;Elektronik og Embedded Systemer;"Fokus: Udvikling af elektronik og indlejrede systemer – fra kredsløb og printkort til firmware og mikrokontrollere. 
Dækker fx: PCB-design, analog og digital elektronik, komponentvalg, kredsløbsdesign, FPGA, firmware, mikrokontrollere, realtime-programmering, arduino";"IDA E
IDA Elteknik
Elektroteknisk gruppe, IDA Østjylland
IDA El, Sjælland
El-Tech, IDA Syd
IDA Embedded
IDA Connect
Elektronik og IT-gruppen, IDA Nordjylland"
Elektronik og tele;IoT og kommunikationsteknologier;"Fokus: Forbundne enheder, trådløs dataudveksling og sikkerhed – både i industrien og i forbrugerteknologi.
Dækker fx: IoT-enheder og sensorer, trådløs teknologi (WiFi, Bluetooth, LoRa, 5G), netværk og antenneteknologi, kommunikationsprotokoller, radioteknik, cybersikkerhed, datatransmission, digital signalbehandling";"IDA E
IDA Elteknik
Elektroteknisk gruppe, IDA Østjylland
IDA El, Sjælland
El-Tech, IDA Syd
IDA Embedded
IDA Connect
Elektronik og IT-gruppen, IDA Nordjylland"
Elektronik og tele;Elteknik;"Fokus: Elinstallationer, energisystemer og styringsteknologi – både i bygninger og industrien. 
Dækker fx: Elteknik og kabelinstallation, Energiforsyning og ladeteknologi, SCADA, processtyring, automatisering, robotteknologi, signalbehandling i kontrolsystemer, styringsteknologi";"IDA E
IDA Elteknik
Elektroteknisk gruppe, IDA Østjylland
IDA El, Sjælland
El-Tech, IDA Syd
IDA Embedded
IDA Connect
Elektronik og IT-gruppen, IDA Nordjylland"
Energi, miljø og grøn omstilling;Grøn omstilling og klimateknologi;"Fokus: Teknologiske løsninger og strategier, der direkte bidrager til reduktion af drivhusgasser og opnåelse af klimamål som netto-nul. 
Dækker fx: CO₂-fangst, energieffektivisering, klimadata, klimamål, ESG, klimatilpasning.";"IDA Energi
IDA Energi, Østjylland
IDA Grøn Teknologi
IDA Køle- & Varmepumpe Teknologi
IDA Miljø
Miljø- og Energiteknisk gruppe, IDA Nordjylland
IDA Global Development 
IDA Nuclear
IDA Urban Food Systems 
Klima, ESG og bæredygtighedskurser + ISO kursus"
Energi, miljø og grøn omstilling;Miljø og naturressourcer;"Fokus: Beskyttelse og bæredygtig forvaltning af økosystemer, natur og ressourcer – uafhængigt af energisystemet. 
Dækker fx: Vandmiljø, biodiversitet, affaldshåndtering, genanvendelse, naturbeskyttelse.
Bemærk: Geologiske forhold som grundvand, jordlag og undergrundens opbygning behandles i hovedkategorien Naturvidenskab > Geologi og jordsystemer, hvor der er fokus på grundvidenskabelig forståelse frem for teknologisk anvendelse.";"IDA Energi
IDA Energi, Østjylland
IDA Grøn Teknologi
IDA Køle- & Varmepumpe Teknologi
IDA Miljø
Miljø- og Energiteknisk gruppe, IDA Nordjylland
IDA Global Development 
IDA Nuclear
IDA Urban Food Systems 
Klima, ESG og bæredygtighedskurser + ISO kursus"
